MM-FIXAR-00265-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | UNC 3/8 X 3/4POL | 125
MM-FIXAR-00266-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | UNC 5/16 X 3/4POL | 125
MM-FIXAR-00267-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | UNC 7/16 X 2POL | 126
MM-FIXAR-00268-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | UNC 5/16 X 1/2POL | 125
MM-FIXAR-00299-00 | PARAFUSO ALLEN CABEÇA ESCAREADA | Fixação | FIXAR | | UNC 7/16 X 1/2POL | 126
MM-FIXAR-00219-00 | PARAFUSO ALLEN CABEÇA ESCAREDA | Fixação | FIXAR | | M3 X 0,50 X 6MM | 115
MM-FIXAR-00379-00 | PARAFUSO ALLEN CILIND DIN 912 GA 10.9. M16 X 60 | Fixação | FIXAR | | 003270228 | 154
MM-FIXAR-00146-00 | PARAFUSO ALLEN CILINDRICA | Fixação | FIXAR | | M12 X 1,75 X 180MM | 151
MM-FIXAR-00155-00 | PARAFUSO ALLEN CILINDRICA | Fixação | FIXAR | | M16 X 2 X 40MM | 150
MM-FIXAR-00215-00 | PARAFUSO ALLEN CILINDRICA | Fixação | FIXAR | | UNC 7/16 X 3/4POL | 150
MM-FIXAR-00387-00 | PARAFUSO ALLEN CILINDRICA | Fixação | FIXAR | | 003270362 | 152
MM-FIXAR-00069-00 | PARAFUSO ALLEN SEM CAB SEXTAVADO | Fixação | FIXAR | | M4 X 0,7 X 6MM | 109
MM-FIXAR-00269-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M10 X 1,5 X 16MM | 113
MM-FIXAR-00270-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M12 X 1,75 X 10MM | 114
MM-FIXAR-00271-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M6 X 1 X 12MM | 111
MM-FIXAR-00272-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M10 X 1,50 X 10MM | 113
MM-FIXAR-00273-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M10 X 1,50 X 30MM | 113
MM-FIXAR-00274-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M10 X 1,50 X 70MM | 113
MM-FIXAR-00275-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M10 X 1,50 X 90MM | 113
MM-FIXAR-00276-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M12 X 1,75 X 100MM | 114
MM-FIXAR-00277-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M12 X 1,75 X 50MM | 114
MM-FIXAR-00278-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M12 X 1,75 X 80MM | 114
MM-FIXAR-00279-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M16 X 2 X 80MM | 114
MM-FIXAR-00280-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M20 X 2,50 X 8MM | 115
MM-FIXAR-00281-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M3 X 0,50 X 10MM | 109
MM-FIXAR-00282-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M3 X 0,50 X 6MM | 109
MM-FIXAR-00283-00 | PARAFUSO ALLEN SEM CABEÇA | Fixação | FIXAR | | M4 X 0,70 x 10MM | 109
